beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
112,86.625,2019-06-06 06:25:56.625000,20790,725.0,720.8333333333334,20707.0,20763,20799,150.0,233.33333333333334,20855.0,,270.8333333333333,,,,,
113,87.34583333333333,2019-06-06 06:25:57.345833,20963,720.8333333333334,866.6666666666667,20876.0,20936,20972,150.0,250.0,21100.0,,570.8333333333333,,,,,
114,88.2125,2019-06-06 06:25:58.212500,21171,866.6666666666667,591.6666666666666,21129.0,21150,21177,112.5,87.5,21301.0,,541.6666666666666,,,,,
115,88.80416666666666,2019-06-06 06:25:58.804167,21313,591.6666666666666,733.3333333333333,21227.0,21287,21332,187.5,250.0,21349.0,,150.0,,,,,
116,89.5375,2019-06-06 06:25:59.537500,21489,733.3333333333333,758.3333333333333,21433.0,21463,21497,141.66666666666666,125.0,21552.0,,262.5,,,,,
117,90.29583333333333,2019-06-06 06:26:00.295833,21671,758.3333333333333,708.3333333333334,21585.0,21644,21685,170.83333333333334,245.83333333333331,21707.0,,150.0,,,,,
118,91.00416666666666,2019-06-06 06:26:01.004167,21841,708.3333333333334,737.5,21789.0,21814,21868,225.0,104.16666666666667,21913.0,,300.0,,,,,
119,91.74166666666666,2019-06-06 06:26:01.741667,22018,737.5,733.3333333333333,21972.0,21991,22027,150.0,79.16666666666666,22064.0,,191.66666666666669,,,,,
120,92.475,2019-06-06 06:26:02.475000,22194,733.3333333333333,737.5,22115.0,22167,22221,225.0,216.66666666666669,22284.0,,375.0,,,,,
121,93.2125,2019-06-06 06:26:03.212500,22371,737.5,733.3333333333333,22285.0,22344,22380,150.0,245.83333333333331,22433.0,,258.33333333333337,,,,,
122,93.94583333333334,2019-06-06 06:26:03.945833,22547,733.3333333333333,737.5,22461.0,22520,22556,150.0,245.83333333333331,22646.0,,412.5,,,,,
123,94.68333333333334,2019-06-06 06:26:04.683333,22724,737.5,725.0,22675.0,22698,22732,141.66666666666666,95.83333333333334,22868.0,,600.0,,,,,
124,95.40833333333333,2019-06-06 06:26:05.408333,22898,725.0,537.5,22813.0,22872,22911,162.5,245.83333333333331,23016.0,,491.66666666666663,,,,,
125,95.94583333333334,2019-06-06 06:26:05.945833,23027,537.5,1841.6666666666665,22977.0,23000,23054,225.0,95.83333333333334,23063.0,,150.0,,,,,
126,97.7875,2019-06-06 06:26:07.787500,23469,1841.6666666666665,48320.833333333336,23406.0,23442,23477,145.83333333333334,150.0,23505.0,,150.0,,,,,
127,146.10833333333332,2019-06-06 06:26:56.108333,35066,48320.833333333336,633.3333333333333,35027.0,35060,35083,95.83333333333334,137.5,35112.0,,191.66666666666669,,,,,
128,146.74166666666667,2019-06-06 06:26:56.741667,35218,633.3333333333333,795.8333333333333,35132.0,35191,35225,141.66666666666666,245.83333333333331,35362.0,,600.0,,,,,
129,147.5375,2019-06-06 06:26:57.537500,35409,795.8333333333333,445.83333333333337,,35403,35436,137.5,,35446.0,,154.16666666666669,,,,,
130,147.98333333333332,2019-06-06 06:26:57.983333,35516,445.83333333333337,1079.1666666666665,35438.0,35497,35522,104.16666666666667,245.83333333333331,35562.0,,191.66666666666669,,,,,
